Billing Name,Department ID
Central Business Office,1
SUMMIT SLEEP SERVICES,50
ANCILLARY SVCS BHAVANA VORA MD,52
ANCILLARY SERVICES - CHARLES H BOZEMAN MD,53
ANCILLARY SERVICES - TENNESSEE VALLEY PRIMARY CARE,57
ANCILLARY SERVICES - SEYMOUR FAMILY PHYSICIANS,58
ANCILLARY SERVICES-SMG OF OAK RIDGE,60
SUMMIT DIAGNOSTIC CENTER AT CEDAR BLUFF,67
SUMMIT DIAGNOSTIC CENTER AT FTN CITY,68
SUMMIT DIAGNOSTIC CENTER AT GREENEVILLE,69
SUMMIT DIAGNOSTIC CENTER AT WELLINGTON,71
FT SANDERS PARK WEST MED CENTER-IP,73
BLOUNT MEMORIAL HOSPITAL- IP,74
FT SANDERS PARK WEST MED CENTER-OP,75
BLOUNT MEMORIAL HOSPITAL-OP,76
BLOUNT MEMORIAL TRANSITIONAL CARE UNIT,77
COLONIAL HILLS NURSING FACILITY,78
CUMBERLAND VILLAGE GENESIS HCARE,79
FT SANDERS REGIONAL MED CENTER-IP,80
FT SANDERS REGIONAL MED CENTER-OP,81
FT SANDERS TRANSITIONAL CARE UNIT,82
LAUGHLIN HEALTHCARE,83
LAUGHLIN HEALTHCARE SNF,84
MARYVILLE HEALTH CARE CENTER,85
MORNINGVIEW BLOUNT MEMORIAL TCU,86
NORTH HAVEN HEALTHCARE CENTER,87
REGENCY RETIREMENT VILLAGE/ASSTLIV,90
SEVIER COUNTY JUVENILE DETENTION,91
SWEETWATER HOSPITAL - IP,93
SWEETWATER HOSPITAL - OP,94
SWEETWATER VALLEY NURSING CENTER,95
THE ESTATES OF OAK RIDGE,96
UT MEDICAL CENTER-IP,97
WOOD VILLAGE ASSISTED LIVING,98
WOOD VILLAGE NURSING HOME,99
SUMMIT MEDICAL CENTRAL LAB,101
AMMAR RAZZAK MD,104
BHAVANA VORA,105
CARING MEDICAL CENTER,107
CHARLES H BOZEMAN II MD,108
CONCORD LENOIR CITY,109
CONCORD MEDICAL CENTER,110
DINARY SAYANI MD,112
MICHAEL J PASSARELLO MD,113
WEST KNOXVILLE INTERNAL MEDICINE,114
EMORY FAMILY PRACTICE,115
FARRAGUT FAMILY PRACTICE,116
FORT LOUDON FAMILY MEDICAL CENTER,117
FOUNTAIN CITY FAMILY PHYSICIANS,118
GREENEVILLE FAMILY MEDICINE,119
GREENEVILLE INTERNAL MEDICINE & FAMILY PRACTICE,120
HALLS FAMILY PHYSICIANS,121
HARDIN VALLEY INTERNAL MEDICINE,122
HOMETOWN MEDICAL CLINIC,123
INTERNAL MEDICINE ASSOCIATES,124
KENNETH C REESE MD,126
MARYVILLE FAMILY MEDICINE,127
M SCOTT GARDNER DO,128
SUMMIT MEDICAL GROUP on PARK WEST,129
MIDDLE CREEK FAMILY PRACTICE,130
NORWOOD FAMILY MEDICINE,131
THWING MEDICAL GROUP,132
POWELL FAMILY PHYSICIANS,133
ROCKWOOD MEDICAL ASSOCIATES,134
SEYMOUR FAMILY PHYSICIANS,135
SEYMOUR MEDICAL CENTER,136
SUMMIT MEDICAL GROUP at DEANE HILL,137
SUMMIT MEDICAL GROUP AT FARRAGUT,138
SUMMIT MEDICAL GROUP at FORT SANDERS,139
SUMMIT MEDICAL GROUP at MIDDLEBROOK,140
SUMMIT MEDICAL GROUP at NEWPORT,141
SUMMIT MEDICAL GROUP AT NORTHSHORE,142
SUMMIT MEDICAL GROUP at TELLICO,143
SUMMIT MEDICAL GROUP at MORRISTOWN,144
SUMMIT MEDICAL GROUP of CLINTON,145
SUMMIT MEDICAL GROUP OF OAK RIDGE,146
SUMMIT MEDICAL GROUP of SOUTH KNOXVILLE,147
STRAWBERRY PLAINS PIKE FAMILY PRACTICE,148
SUMMIT FAMILY MEDICAL OCCUPATIONAL HEALTH,149
TENNESSEE CENTER FOR INTERNAL MEDICINE,150
TENNESSEE VALLEY PRIMARY CARE,151
SUMMIT MEDICAL GROUP OF CAMPBELL COUNTY,152
TRINITY MEDICAL ASSOCIATES KNOXVILLE,153
TRINITY MEDICAL ASSOCIATES MARYVILLE,154
TUSCULUM FAMILY PHYSICIANS,155
CHILDRENS FAITH PEDIATRICS,157
HOMETOWN PEDIATRIC JEFFERSON CITY,158
HOMETOWN PEDIATRIC MORRISTOWN,159
HOMETOWN PEDIATRIC SEVIERVILLE,160
PEDIATRIC CLINIC HARDIN VALLEY,161
PEDIATRIC CLINIC SEYMOUR,162
PEDIATRIC CLINIC WEST HUXLEY,163
SHULTS PEDIATRICS DIVISION OF SUMMIT MEDICAL GROUP,164
SUMMIT PEDIATRICS at MARYVILLE,165
SUMMIT PHYSICAL THERAPY AT CEDAR BLUFF,166
SUMMIT PHYSICAL THERAPY AT FARRAGUT,167
SUMMIT PHYSICAL THERAPY AT FOUNTAIN CITY,168
SUMMIT PHYSICAL THERAPY AT GREENEVILLE,169
SUMMIT PHYSICAL THERAPY AT JEFFERSON CITY,170
SUMMIT PHYSICAL THERAPY AT OAK RIDGE,171
SUMMIT PHYSICAL THERAPY AT POWELL,172
SUMMIT PHYSICAL THERAPY AT TELLICO,173
RHEUMATOLOGY ASSOCIATES OF EAST TENNESSEE,174
SUMMIT EXPRESS CLINIC AT BEARDEN HILL,175
SUMMIT EXPRESS CLINIC AT FARRAGUT,176
SUMMIT EXPRESS CLINIC AT FOUNTAIN CITY,177
SUMMIT URGENT CARE of GREENEVILLE,178
SUMMIT EXPRESS CLINIC AT POWELL,179
FORT SANDERS SEVIER MEDICAL CTR IP,180
JEFFERSON CITY HEALTH & REHAB - NON,181
JEFFERSON CITY HEALTH & REHAB - SNF,182
JEFFERSON COUNTY NURSING HOME - NON,183
JEFFERSON MEMORIAL HOSPITAL - ER,184
JEFFERSON MEMORIAL HOSPITAL - IP,185
JEFFERSON MEMORIAL HOSPITAL - OP,186
MERCY JEFFERSON MEMORIAL SLEEP CTR,187
SUMMIT MEDICAL GROUP at WARTBURG,189
SLP_SMG HOME SLEEP SERVICES,192
SMG HOME VISIT,193
SUMMIT PHYSICAL THERAPY SCHEDULING,194
ANCILLARY SERVICES MIDDLE CREEK FAMILY PRACTICE,195
ATHENS MEDICAL GROUP,196
DWK LIFE SCIENCES,198
NULL,199
NULL,200
SUMMIT MEDICAL QUEST LAB,201
SUMMIT MEDICAL AFTS LAB,202
NULL,203
MORNING POINTE ASSISTED LIVING,204
ATHENS PLACE ASSISTED LIVING,205
STARR REGIONAL MEDICAL CENTER - ER,206
STARR REGIONAL MEDICAL CENTER - IP,207
STARR REGIONAL MEDICAL CENTER - OP,208
DOMINION SENIOR LIVING OF ATHENA,209
NULL,210
NULL,211
NULL,212
NULL,213
NULL,214
FAMILY MEDICINE CENTER,215
MORNING POINTE ASSISTED LIVING OF GREENEVILLE,216
RHEUMATOLOGY ASSOCIATES ATHENS,218
COOL SPRINGS INTERNAL MEDICINE & PEDIATRICS,219
NORTH FRANKLIN INTERNAL MEDICINE & PEDIATRICS,220
BRADLEY MEDICAL CENTER - IP,221
BRADLEY MEDICAL CENTER - OP,222
BRADLEY MEDICAL CENTER - ER,223
WILLIAMSON MED CTR FRANKLIN - ER,224
WILLIAMSON MED CTR FRANKLIN - IP,225
WILLIAMSON MED CTR FRANKLIN - OP,226
PATRICIA NEAL REHABILITATION CENTER,227
INTERNAL MEDICINE ASSOCIATES OF ETOWAH,228
GOODLETTSVILLE PEDIATRICS,231
ETOWAH HEALTH CARE CENTER,232
LIFE CARE CENTER,233
STARR REGIONAL HEALTH & REHAB,234
STARR REGIONAL HEALTH & REHAB,235
STARR REGIONAL HEALTH & REHAB,236
VANDERBILT UNIVERSITY MEDICAL CENTER,237
ASCENSION ST THOMAS HOSPITAL,238
TRISTAR CENTENNIAL MED CTR,239
TRISTARR CENTENNIAL WOMENS HOSPITAL,240
SUMMIT MEDICAL GROUP OF COOKEVILLE,241
NHC HEALTHCARE ATHENS,242
ANCILLARY SERVICES-ATHENS MEDICAL GROUP,243
SHULTS PEDIATRICS BLOUNT COUNTY,244
STARR REGIONAL HEALTH & REHAB,245
DaVITA ETOWAH DIALYSIS,246
ANCILLARY SERVICES - SEC at POWELL,247
TENNESSEE EYE CARE CENTERS,250
TENNESSEE EYE CARE CENTERS,251
TENNESSEE EYE CARE CENTERS,252
TENNESSEE EYE CARE CENTERS,253
TENNESSEE EYE CARE CENTERS,254
TENNESSEE EYE CARE CENTERS,255
TENNESSEE EYE CARE CENTERS,256
EYE_TEC @GREENEVILLE EYECARE CENTER,257
TENNESSEE EYE CARE CENTERS,258
EYE_TEC @KNOXVILLE EYE CARE CENTER,259
TENNESSEE EYE CARE CENTERS,260
TENNESSEE EYE CARE CENTERS,261
TENNESSEE EYE CARE CENTERS,262
TENNESSEE EYE CARE CENTERS,263
TENNESSEE EYE CARE CENTERS,264
GRACE PRIMARY CARE,266
ANCILLARY SVCS LENOIR CITY,267
UPPER CUMBERLAND FAMILY PHYSICIANS,268
CHATTANOOGA FAMILY PRACTICE,269
Bhavana Vora MD,270
COOKEVILLE REGIONAL MEDICAL CENTER-IP,271
SIGNATURE HEALTHCARE OF PUTNAM COUNTY,272
NHC HEALTHCARE COOKEVILLE,273
NEWPORT MEDICAL CENTER,274
ROANE MEDICAL CENTER,275
ANCILLARY SVCS MARYVILLE FAMILY PRACTICE,276
HSP_COOKEVILLE REGIONAL MEDICAL CENTER-OP,277
HERMITAGE PC-SMG,278
ANCILLARY SVCS GRACE PRIMARY HUNTSVILLE,279
BRENTWOOD CHILDRENS CLINIC,280
ANCILLARY SVCS CAMPBELL CO,281
SUMMIT PHYSICAL THERAPY AT MORRISTOWN,282
ANC SVCS NEWPORT,283
ANC SVCS MORRISTOWN,284
