DEPARTMENTID,DepartmentName
1,Summit Medical Group (CBO)
50,SLP_SMG SLEEP SERVICES
52,DI_ANC SVCS BHAVANA VORA MD
53,DI_ANC SVCS CHARLES H BOZEMAN II MD
57,DI_ANC SVCS  TENNESSEE  VALLEY PRIMARY CA
58,DI_ANC SVCS SEYMOUR FAMILY PHYSICIANS
60,DI_ANC SVCS SMG of OAK RIDGE
67,DI_SMG IMAGING CEDAR BLUFF
68,DI_SMG IMAGING FTN CITY
69,DI_SMG IMAGING GREENEVILLE
71,DI_SMG IMAGING WELLINGTON
73,HSP_FT SANDERS PARK WEST MED CTR IP
74,HSP_BLOUNT MEM HOSP IP
75,HSP_FT SANDERS PARK WEST MED CTR OP
76,HSP_BLOUNT MEM HOSP OP
77,HSP_BLOUNT MEM HOSP TCU
78,HSP_COLONIAL HILLS NURSING FAC
79,HSP_CUMBERLAND VILLAGE GENESIS HCARE
80,HSP_FT SANDERS REG MED CTR IP
81,HSP_FT SANDERS REG MED CTR OP
82,HSP_FT SANDERS TRANS CARE UNIT
83,HSP_LAUGHLIN HEALTHCARE
84,HSP_LAUGHLIN HEALTHCARE SNF
85,HSP_MARYVILLE HEALTH CARE CTR
86,HSP_MORNINGVIEW BLOUNT MEM TCU
87,HSP_NORTH HAVEN HEALTHCARE CENTER
90,HSP_REGENCY RTRMT VILLAGE ASST LIV
91,HSP_SEVIER CTY JUVENILE DETENTION
93,HSP_SWEETWATER HOSPITAL IP
94,HSP_SWEETWATER HOSPITAL OP
95,HSP_SWEETWATER VALLEY NURSING CTR
96,HSP_THE ESTATES OF OAK RIDGE
97,HSP_UT MEDICAL CENTER IP
98,HSP_WOOD VILLAGE ASSITED LIVING
99,HSP_WOOD VILLAGE NURSING HOME
101,LAB_SMG CENTRAL LAB
104,PC_AMMAR RAZZAK MD
105,PC_BHAVANA VORA MD
107,PC_CARING MEDICAL CENTER
108,PC_CHARLES H BOZEMAN II MD
109,PC_CONCORD LENOIR CITY
110,PC_CONCORD MEDICAL CENTER
112,PC_DINAR SAYANI MD
113,PC_MICHAEL J PASSARELLO MD
114,PC_WEST KNOXVILLE INTERNAL MEDICINE
115,PC_EMORY FAMILY PRACTICE
116,PC_FARRAGUT FAMILY PRACTICE
117,PC_FORT LOUDON FAMILY MEDICAL CTR
118,PC_FOUNTAIN CITY FAMILY PHYSICIANS
119,PC_GREENEVILLE FAMILY MEDICINE
120,PC_GREENEVILLE INT MED & FAM PRAC
121,PC_HALLS FAMILY PHYSICIANS
122,PC_HARDIN VALLEY INT MED
123,PC_HOMETOWN MEDICAL CLINIC
124,PC_INTERNAL MEDICINE ASSOCIATES
126,PC_KENNETH C REESE MD
127,PC_MARYVILLE FAMILY MEDICINE
128,PC_M SCOTT GARDNER DO
129,PC_SUMMIT MEDICAL GROUP on PARK WEST
130,PC_MIDDLE CREEK FAMILY PRACTICE
131,PC_NORWOOD FAMILY MEDICINE
132,PC_THWING MEDICAL GROUP
133,PC_POWELL FAMILY PHYSICIANS
134,PC_ROCKWOOD MEDICAL ASSOCIATES
135,PC_SEYMOUR FAMILY PHYSICIANS
136,PC_SEYMOUR MEDICAL CENTER
137,PC_SMG at DEANE HILL
138,PC_SMG at FARRAGUT
139,PC_SMG at FT SANDERS
140,PC_SMG at MIDDLEBROOK
141,PC_SMG at NEWPORT
142,PC_SMG at NORTHSHORE
143,PC_SMG at TELLICO
144,PC_SMG at MORRISTOWN
145,PC_SMG of CLINTON
146,PC_SMG of OAK RIDGE
