LocationCriteria,Location,Department ID,Department Name
*** No Athena Value BHAVANA VORA exists.,BHAVANA VORA,105,PC_BHAVANA VORA MD
*** No Athena Value COOL SPRINGS INTERNAL MEDICINE & PEDIATRICS exists.,COOL SPRINGS INTERNAL MEDICINE & PEDIATRICS,219,PC_COOL SPRINGS IMP
*** No Athena Value DINARY SAYANI MD exists.,DINARY SAYANI MD,112,PC_DINAR SAYANI MD
*** No Athena Value FAMILY MEDICINE CENTER exists.,FAMILY MEDICINE CENTER,215,PC_FAMILY MEDICINE CENTER CLEVELAND
*** No Athena Value FORT LOUDON FAMILY MEDICAL CENTER exists.,FORT LOUDON FAMILY MEDICAL CENTER,117,PC_FORT LOUDON FAMILY MEDICAL CTR
*** No Athena Value GOODLETTSVILLE PEDIATRICS exists.,GOODLETTSVILLE PEDIATRICS,231,PED_GOODPEDS
*** No Athena Value GREENEVILLE INTERNAL MEDICINE & FAMILY PRACTICE exists.,GREENEVILLE INTERNAL MEDICINE & FAMILY PRACTICE,120,PC_GREENEVILLE INT MED & FAM PRAC
*** No Athena Value HARDIN VALLEY INTERNAL MEDICINE exists.,HARDIN VALLEY INTERNAL MEDICINE,122,PC_HARDIN VALLEY INT MED
*** No Athena Value HERMITAGE PC-SMG exists.,HERMITAGE PC-SMG,278,PC_HERMITAGE PRIMARY CARE a division of SMG
*** No Athena Value INTERNAL MEDICINE ASSOCIATES OF ETOWAH exists.,INTERNAL MEDICINE ASSOCIATES OF ETOWAH,228,PC_IMA ETOWAH
*** No Athena Value NORTH FRANKLIN INTERNAL MEDICINE & PEDIATRICS exists.,NORTH FRANKLIN INTERNAL MEDICINE & PEDIATRICS,220,PC_NORTH FRANKLIN IMP
*** No Athena Value RADIOSYSTEMS ST BERNARD CLINIC exists.,RADIOSYSTEMS ST BERNARD CLINIC,197,PC_RADIOSYSTEMS ST BERNARD CLINIC
*** No Athena Value SHULTS PEDIATRICS DIVISION OF SUMMIT MEDICAL GROUP exists.,SHULTS PEDIATRICS DIVISION OF SUMMIT MEDICAL GROUP,164,PED_SHULTS PEDIATRICS
*** No Athena Value SUMMIT FAMILY MEDICAL OCCUPATIONAL HEALTH exists.,SUMMIT FAMILY MEDICAL OCCUPATIONAL HEALTH,149,PC_SUMMIT FAMILY MEDICINE/OHS
*** No Athena Value SUMMIT MEDICAL GROUP at DEANE HILL exists.,SUMMIT MEDICAL GROUP at DEANE HILL,137,PC_SMG at DEANE HILL
*** No Athena Value SUMMIT MEDICAL GROUP AT FARRAGUT exists.,SUMMIT MEDICAL GROUP AT FARRAGUT,138,PC_SMG at FARRAGUT
*** No Athena Value SUMMIT MEDICAL GROUP at FORT SANDERS exists.,SUMMIT MEDICAL GROUP at FORT SANDERS,139,PC_SMG at FT SANDERS
*** No Athena Value SUMMIT MEDICAL GROUP at MIDDLEBROOK exists.,SUMMIT MEDICAL GROUP at MIDDLEBROOK,140,PC_SMG at MIDDLEBROOK
*** No Athena Value SUMMIT MEDICAL GROUP at MORRISTOWN exists.,SUMMIT MEDICAL GROUP at MORRISTOWN,144,PC_SMG at MORRISTOWN
*** No Athena Value SUMMIT MEDICAL GROUP at NEWPORT exists.,SUMMIT MEDICAL GROUP at NEWPORT,141,PC_SMG at NEWPORT
*** No Athena Value SUMMIT MEDICAL GROUP AT NORTHSHORE exists.,SUMMIT MEDICAL GROUP AT NORTHSHORE,142,PC_SMG at NORTHSHORE
*** No Athena Value SUMMIT MEDICAL GROUP at TELLICO exists.,SUMMIT MEDICAL GROUP at TELLICO,143,PC_SMG at TELLICO
*** No Athena Value SUMMIT MEDICAL GROUP at WARTBURG exists.,SUMMIT MEDICAL GROUP at WARTBURG,189,PC_SMG at WARTBURG
*** No Athena Value SUMMIT MEDICAL GROUP OF CAMPBELL COUNTY exists.,SUMMIT MEDICAL GROUP OF CAMPBELL COUNTY,152,PC_SMG OF CAMPBELL COUNTY
*** No Athena Value SUMMIT MEDICAL GROUP of CLINTON exists.,SUMMIT MEDICAL GROUP of CLINTON,145,PC_SMG of CLINTON
*** No Athena Value SUMMIT MEDICAL GROUP OF COOKEVILLE exists.,SUMMIT MEDICAL GROUP OF COOKEVILLE,241,PC_SMG COOKEVILLE
*** No Athena Value SUMMIT MEDICAL GROUP OF OAK RIDGE exists.,SUMMIT MEDICAL GROUP OF OAK RIDGE,146,PC_SMG of OAK RIDGE
*** No Athena Value SUMMIT MEDICAL GROUP of SOUTH KNOXVILLE exists.,SUMMIT MEDICAL GROUP of SOUTH KNOXVILLE,147,PC_SMG of SOUTH KNOXVILLE
*** No Athena Value SUMMIT PEDIATRICS at MARYVILLE exists.,SUMMIT PEDIATRICS at MARYVILLE,165,PED_SMG PEDIATRICS at MARYVILLE
*** No Athena Value TENNESSEE CENTER FOR INTERNAL MEDICINE exists.,TENNESSEE CENTER FOR INTERNAL MEDICINE,150,PC_TENNESSEE CENTER INT MED
*** No Athena Value TENNESSEE VALLEY PRIMARY CARE exists.,TENNESSEE VALLEY PRIMARY CARE,151,PC_TENNESSEE  VALLEY  PRIMARY CARE
*** No Athena Value TRINITY MEDICAL ASSOCIATES KNOXVILLE exists.,TRINITY MEDICAL ASSOCIATES KNOXVILLE,153,PC_TRINITY MED ASSOC KNOXVILLE
*** No Athena Value TRINITY MEDICAL ASSOCIATES MARYVILLE exists.,TRINITY MEDICAL ASSOCIATES MARYVILLE,154,PC_TRINITY MED ASSOC MARYVILLE
,,,
,,,
,,,
