AthenaValue,NrcValue
African American,2054-5
American Indian,1002-5
American Indian or Alaska Native,1002-5
Apache,1002-5
Arab,2118-8
Asian,2028-9
Asian Indian,2029-7
Black,2054-5
Black or African American,2054-5
European,2106-3
Irish,2106-3
Italian,2106-3
Middle Eastern or North African,2118-8
Native Hawaiian or Other Pacific Islander,2076-8
Other Pacific Islander,2076-8
Other Race,2131-1
Patient Declined,0000-1
Scottish,2106-3
Vietnamese,2028-9
White,2106-3
White Earth,2106-3
White Earth,2106-3
White Mountain Apache,1002-5
